089-3323 volume_S1 (#/hr),089-3323 speed_S1 (mph),089-3332 volume_S2 (#/hr),089-3332 speed_S2 (mph),135-6285 volume_S3 (#/hr),135-6285 speed_S3 (mph),135-6287 volume_S4 (#/hr),135-6287 speed_S4 (mph),time (hr)
3742,71.1,3016,70.9,4174,73.2,4236,70.8,0
2471,71.1,1848,68.3,2780,72.2,2788,70.2,1
1906,69.7,1380,69.6,2238,70.6,2178,69.2,2
1408,70.9,1314,71.2,2310,71.4,2365,69.4,3
1404,73.9,2217,72.6,3887,73.7,4081,70.5,4
3276,74.6,5333,73.4,8661,74,9210,71.2,5
6591,71.4,10210,70.8,15641,68.1,16059,65,6
7467,68.8,11674,69,16326,55.7,17604,58.4,7
9413,69.6,12063,68.1,15326,52,14876,47.6,8
12240,69.8,11207,69,16009,52.3,15927,57,9
11905,70.2,10920,69.3,16389,53.8,16381,63.5,10
11613,70.1,10688,69.7,16433,64.9,16693,66.6,11
12450,69.4,11169,69.3,16059,58.9,16682,66,12
13490,69.3,12252,69.5,17381,58.8,17474,63.8,13
13640,68.9,12164,69.1,17515,60,17665,61.5,14
15141,68.9,13528,67.2,16089,51.6,16568,51,15
15369,68.2,14035,62,16729,52.8,17824,51.1,16
16344,67.8,14648,61.5,17781,57.3,19174,56.6,17
13559,69.8,12437,69.3,16603,58.7,17543,55,18
10918,69.7,10075,70.4,14596,69,15005,67.9,19
8959,69.3,8215,70.3,12123,69.4,12364,67.3,20
7191,70.5,6561,71,9156,71.5,9435,68.9,21
5516,70.8,5001,71.7,7139,71.7,7187,69.8,22
4010,70.5,3560,71.7,5486,72.1,5641,69.9,23
