3917.00 ,73.40 ,3967.00 ,71.00 ,0.00 
2691.00 ,71.50 ,2709.00 ,70.80 ,1.00 
2096.00 ,71.90 ,2130.00 ,69.70 ,2.00 
2362.00 ,70.90 ,2395.00 ,70.00 ,3.00 
3765.00 ,74.10 ,3992.00 ,71.40 ,4.00 
8766.00 ,74.30 ,9265.00 ,71.30 ,5.00 
15607.00 ,69.90 ,15998.00 ,66.00 ,6.00 
18342.00 ,60.30 ,18596.00 ,63.40 ,7.00 
18120.00 ,55.80 ,18269.00 ,62.90 ,8.00 
16793.00 ,66.30 ,16712.00 ,63.00 ,9.00 
16478.00 ,67.00 ,16535.00 ,63.00 ,10.00 
16731.00 ,65.50 ,16881.00 ,66.10 ,11.00 
17180.00 ,65.50 ,17271.00 ,66.20 ,12.00 
17064.00 ,60.40 ,17247.00 ,66.10 ,13.00 
18106.00 ,66.70 ,18284.00 ,66.00 ,14.00 
18128.00 ,62.00 ,18386.00 ,62.20 ,15.00 
17479.00 ,55.60 ,18426.00 ,56.10 ,16.00 
17411.00 ,56.40 ,18428.00 ,56.30 ,17.00 
16690.00 ,58.50 ,17382.00 ,58.40 ,18.00 
14417.00 ,69.40 ,14592.00 ,67.80 ,19.00 
12582.00 ,69.20 ,12809.00 ,67.30 ,20.00 
9797.00 ,70.40 ,9659.00 ,62.00 ,21.00 
7260.00 ,69.00 ,7584.00 ,65.70 ,22.00 
5276.00 ,72.30 ,5430.00 ,69.90 ,23.00 
