135-6285 volume_entrance (#/hr),135-6285 speed_entrance (mph),135-6287 volume_exit (#/hr),135-6287 speed_exit (mph),time (hr)
3581,70.6,3634,69.2,0
2381,69.8,2367,68.8,1
1986,69.7,2020,68.8,2
2274,70.7,2333,69.2,3
4006,72.7,4161,70.5,4
10402,71.5,10989,68.6,5
16769,53.6,16812,58.9,6
17393,49.9,17383,52.5,7
16542,44.7,16060,47.1,8
16601,49.1,16566,50.8,9
16977,54.7,16367,59,10
15725,68.4,15842,67,11
16810,67.5,17035,66.5,12
17393,66.9,17496,66.1,13
18630,64.5,18930,65.2,14
18652,59.4,19123,61.2,15
17282,51.7,18550,51.7,16
16825,47.1,18174,49.6,17
16490,48.1,17565,44.1,18
14167,56,14906,62.2,19
11987,66.3,12506,66.9,20
9829,69.8,9805,68.1,21
7935,70.4,8006,69.2,22
5153,71,5303,69.8,23
