135-6285 volume_entrance (#/hr),135-6285 speed_entrance (mph),135-6287 volume_exit (#/hr),135-6287 speed_exit (mph),time (hr)
3917,73.4,3967,71,0
2691,71.5,2709,70.8,1
2096,71.9,2130,69.7,2
2362,70.9,2395,70,3
3765,74.1,3992,71.4,4
8766,74.3,9265,71.3,5
15607,69.9,15998,66,6
18342,60.3,18596,63.4,7
18120,55.8,18269,62.9,8
16793,66.3,16712,63,9
16478,67,16535,63,10
16731,65.5,16881,66.1,11
17180,65.5,17271,66.2,12
17064,60.4,17247,66.1,13
18106,66.7,18284,66,14
18128,62,18386,62.2,15
17479,55.6,18426,56.1,16
17411,56.4,18428,56.3,17
16690,58.5,17382,58.4,18
14417,69.4,14592,67.8,19
12582,69.2,12809,67.3,20
9797,70.4,9659,62,21
7260,69,7584,65.7,22
5276,72.3,5430,69.9,23
